created_at,favorites,location,retweets,source,text,user
30-05-2017,0,"Hyderabad, India",0,Deal 70,Best #deal from #Flipkart MRP: Rs 38290.0 Discount: 13.0% Off Buy Price: Rs 32950.0 #buy #online #Hyderabad #India https://t.co/DpxRY1Ek4I,dealseventy
30-05-2017,0,,0,fliptrak-node,#deals Turban Toys Intex 6 feet swimming pool for kids is selling cheaper by 3% at INR 849 today https://t.co/k8dYSrAFdI #flipkart,pricetrak
30-05-2017,0,,0,fliptrak-node,#deals Dying Light: The Following (Enhanced Edition) is selling cheaper at INR 1455 today https://t.co/iz4tIsaPVq #flipkart,pricetrak
30-05-2017,0,,3,Twitter for iPhone,"RT @moneycontrolcom: #Snapdeal's HR head #SaurabhNigam quits, ahead of deal with #Flipkart 

https://t.co/OouXUYygVG",Saumya84
30-05-2017,0,Kuala Lumpur,0,Buffer,"#Samsung Galaxy J3 Pro up for grab on Flipkart from today at just Rs. 7,990

https://t.co/yCTVZwLEzs #GalaxyJ3… https://t.co/3WSM2WAPOC",GSTechNews
30-05-2017,0,,0,fliptrak-node,"#deals BlackBerry Bold 9790 (Black, 8 GB) is selling cheaper at INR 6999 today https://t.co/Hrk1LHJ21Z #flipkart",pricetrak
30-05-2017,0,,0,fliptrak-node,#deals Cyan Alloy Jewel Set is selling cheaper at INR 599 today https://t.co/cVtlCW0Okd #flipkart,pricetrak
30-05-2017,0,,0,allcompanies,"#Flipkart-Verkauf Bietet, OnePlus Referral-Programm &amp; Mehr: Ihre 360 Täglich https://t.co/yS96VM6UpS Flipkart hat .… https://t.co/AGBhGILQU2",allcompaniess1
30-05-2017,0,,0,fliptrak-node,"#deals #Sony Xperia Z2 (White, 16 GB) is selling cheaper by 14% at INR 15490 today https://t.co/o3GIKB4hFc #flipkart",pricetrak
30-05-2017,0,,0,fliptrak-node,#deals This Was a Man is selling cheaper at INR 250 today https://t.co/7ZaxkIoTli #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Dell 18.5 inch HD LED - E1916HV  Monitor is selling cheaper at INR 4999 today https://t.co/FZZhNSUYdu #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Fundamentals Of Neural Networks 01 Edition 1 Edition is selling cheaper at INR 500 today https://t.co/ib4dvKHl8T #flipkart,pricetrak
29-05-2017,0,127.0.0.1,3,AutoBot - F/R/D -2,"RT @AmarUjalaNews: #Flipkart पर समर शॉपिंड डे शुरू, #iPhone पर 17,000 रुपये की छूट
#technews
https://t.co/7kvHadQgqy",DaTechBot
29-05-2017,0,,0,fliptrak-node,#deals #Panasonic 109cm (43) Full HD LED TV is selling cheaper at INR 29999 today https://t.co/h2IwMwvZQv #flipkart,pricetrak
29-05-2017,0,,0,allcompanies,"#Flipkart Vendita Offre, OnePlus Del Programma Di Segnalazione: Il 360 Quotidiano https://t.co/yS96VM6UpS Flipkart… https://t.co/YSviTvNh5I",allcompaniess1
29-05-2017,0,,0,fliptrak-node,#deals Wayona WYN 12 USB Adapter is selling cheaper at INR 349 today https://t.co/GUPMC1a3i8 #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Aakrati Hanuman Yellow Finish Brass Statue Showpiece  -  10 cm is selling cheaper at INR 699 today https://t.co/XALcxIIoOa #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Ahmedabad Cotton Cotton Floral Double Bedsheet is selling cheaper at INR 549 today https://t.co/yzPnGfOd9R #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Levi's Slim Men's Blue Jeans is selling cheaper at INR 1699 today https://t.co/kILeWQij5l #flipkart,pricetrak
29-05-2017,0,,0,allcompanies,"#Flipkart Des Offres De Vente, OnePlus Programme De Référence Et Plus: Votre 360 Quotidien https://t.co/yS96VM6UpS… https://t.co/CTXnqTmaH2",allcompaniess1
29-05-2017,0,,1,Twitter for Android,"RT @sakshinews: డిస్కౌంట్ ఆఫర్స్: ఫ్లిప్ కార్ట్ మరో 'సమ్మర్ సేల్' 
https://t.co/FtYUryJhVo
#Flipkart #summersale #offers https://t.co/fLweL…",TMSNews3
29-05-2017,0,,0,fliptrak-node,"#deals SAMSUNG Galaxy J7 - 6 (New 2016 Edition) (Gold, 16 GB) is selling cheaper by 12% at INR 10990 today https://t.co/KIYLSMUMIP #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,"#deals #Micromax Canvas 6 Pro (Black, 16 GB) is selling cheaper at INR 7800 today https://t.co/94VpX62xmz #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Fallout 4 (for PC) is selling cheaper at INR 1249 today https://t.co/F6mVK5xXCl #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,"#deals #Apple iPhone SE (Rose Gold, 64 GB) is selling cheaper at INR 27490 today https://t.co/l1LFuudbSs #flipkart",pricetrak
29-05-2017,0,,0,allcompanies,"#Flipkart Te Koop Biedt, OnePlus Referral Programma &amp; Meer: Uw 360 Dagelijks https://t.co/yS96VM6UpS Flipkart is ..… https://t.co/O9Can6fMDh",allcompaniess1
29-05-2017,1,,0,fliptrak-node,#deals CareFone Tempered Glass Guard for Mi Redmi Note 4 is selling cheaper by 1% at INR 380 today https://t.co/VPOgVO28uC #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Sony SRS-XB20 Portable Bluetooth Mobile/Tablet Speaker is selling cheaper at INR 6899 today https://t.co/V4fiD4117s #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Whirlpool 300 L Frost Free Triple Door Refrigerator is selling cheaper at INR 31499 today https://t.co/XQoQu9yHit #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Envent Dialog + Wireless Bluetooth Headset With Mic is selling cheaper at INR 399 today https://t.co/I0AHRLYFsf #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,"#deals #Apple iPhone 6s Plus (Gold, 32 GB) is selling cheaper at INR 55000 today https://t.co/gBps2ThjwN #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Call of Duty: Infinite Warfare (Legacy Edition) is selling cheaper at INR 1999 today https://t.co/3bPnMTmWKY #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Death Note Black is selling cheaper at INR 675 today https://t.co/SBQ1Wg2tBJ #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Lenovo KM4802 USB 2.0 Keyboard and Mouse Combo is selling cheaper at INR 689 today https://t.co/r43IQLn5XE #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Administrative Thinkers is selling cheaper by 3% at INR 290 today https://t.co/mx6YXqMv4x #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Nivia Flash Badminton Shoes is selling cheaper at INR 987 today https://t.co/KzM5NeHrrM #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,"#deals #Prestige GT 03 SS Glass, Stainless Steel Manual Gas Stove is selling cheaper at INR 5526 today https://t.co/pieOCAIwKV #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Braun Silk-Èpil Bikini Styler 1100 Pink is selling cheaper at INR 1199 today https://t.co/lHNgEzacTf #flipkart,pricetrak
29-05-2017,0,Australia,1, Marketing Aff,RT @TechwithDeb_: Earn crores of money from #Flipkart  #Amazon #AffiliateMarketing  https://t.co/0t5QJ8CNA7 @YTCreators @YTCreatorsIndia @Y…,makemoney09876
29-05-2017,0,,0,fliptrak-node,"#deals SAMSUNG Galaxy J7 - 6 (New 2016 Edition) (Black, 16 GB) is selling cheaper at INR 12900 today https://t.co/OEmpTM8OKV #flipkart",pricetrak
29-05-2017,1,"West Bengal, India",1,Twitter for Android,Earn crores of money from #Flipkart  #Amazon #AffiliateMarketing  https://t.co/0t5QJ8CNA7 @YTCreators… https://t.co/TWczhpyJ6f,TechwithDeb_
29-05-2017,0,,0,fliptrak-node,"#deals #WildHorn Men Casual, Formal Black Genuine Leather Wallet is selling cheaper at INR 490 today https://t.co/uUh42W0bSZ #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,#deals FUNK Ding Loafers is selling cheaper by 6% at INR 439 today https://t.co/1mBPkJJZlb #flipkart,pricetrak
29-05-2017,0,,0,Twitter Web Client,#flipkart #SummerSale #FlipkartSummerShoppingDays #Gizbot @GizbotHi 👇 https://t.co/0gJLQ0eTrb,GizbotHi
29-05-2017,0,"गुजरात, भारत",0,Satyaday,ફ્લિપકાર્ટ લઈને આવ્યું સમર સેલ ફેસ્ટિવલ.વધુ વિગતો માટે અહીં ક્લિક કરો -#flipkart  https://t.co/P7GiMLOjT9 https://t.co/NQIQx2Lpy1,satyadaypost
29-05-2017,1,"New Delhi, India",0,Twitter Web Client,#Flipkart As per the 10 days replacement policy why did you not replacing the phone and you are cheating to customer OD109188431442124000.,Ramendrachauha1
29-05-2017,0,,0,Twitter Web Client,"#Flipkart Offer
#Redmi Note 4

https://t.co/w1BuHTIzL4  https://t.co/w1BuHTIzL4  https://t.co/w1BuHTIzL4 https://t.co/SbQUNE3u81",arihant_pc
29-05-2017,0,,0,fliptrak-node,#deals #JBL XTREME Portable Bluetooth Mobile/Tablet Speaker is selling cheaper at INR 18728 today https://t.co/pNiR10kaHL #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,"#deals #Apple iPhone 6s Plus (Silver, 32 GB) is selling cheaper at INR 56765 today https://t.co/9bLoZWuUFX #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Romoss PB10 PB 10 Power bank 10000 mAh Power Bank is selling cheaper at INR 939 today https://t.co/l7DIn06pbr #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Apple iPad 128 GB 9.7 inch with Wi-Fi+4G is selling cheaper at INR 47900 today https://t.co/8Z2SW4FoL6 #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Belkin 8 Socket Surge Protector (F9E800zb) is selling cheaper at INR 1299 today https://t.co/T6afW0ugDt #flipkart,pricetrak
29-05-2017,1,"#New Delhi, India",0,Facebook,"बेहद सस्ते में मोबाइल, लैपटॉप, एसी...जानिए कितने में ? अब भी है मौक़ा
#Flipkart #Summer #Sale https://t.co/77yqfZYDFB",News2Viral
29-05-2017,0,,0,fliptrak-node,#deals Livpure Pep Pro++ 7 L RO + UV +UF Water Purifier is selling cheaper at INR 10699 today https://t.co/s1CZCqZqfe #flipkart,pricetrak
29-05-2017,0,India,0,Twitter for Android,#novel #hindi #HindiMedium #Published #Amazon #Flipkart https://t.co/fdiLpQzT72,bijaltalekar1
29-05-2017,0,New Delhi,1,Twitter for Android,"RT @moneymji: Moneyम्जी khabar laaye!

#flipkart #sale #money💰 #discount #ecommerce #amazon #businessmind #business #news #entre… https://t…",sagarbiz
29-05-2017,0,"Gurgaon, India",1,Twitter for Android,RT @shopickr: Flipkart Summer Shopping Days Sale [29-31 May] | 10% Cashback with ... https://t.co/ymx04Z5pAc #BeforeYouShop at #Flipkart #D…,ratul29
29-05-2017,0,"Hyderabad, India",0,Deal 70,Best #deal from #Flipkart MRP: Rs 2499.0 Discount: 78.0% Off Buy Price: Rs 539.0 #buy #online #Hyderabad #India https://t.co/Ip27F7mvAh,dealseventy
29-05-2017,0,,1,Twitter for Android,RT @saismriti: @_sachinbansal @binnybansal @Flipkart @jagograhakjago @consaff My Observations 1) #Seller r Happy with #Flipkart becoz They…,vivek57962776
29-05-2017,0,,1,Twitter for Android,RT @saismriti: @_sachinbansal @binnybansal @Flipkart @jagograhakjago @consaff 3) #Flipkart #owner r Happy becoz if u tag any problem to the…,vivek57962776
29-05-2017,0,India,0,Twitter for iPad,@sureshpprabhu Auction #Tejas to #Flipkart and use as Mall on Wheels! #Ponder,GovindGovind
29-05-2017,0,,0,fliptrak-node,#deals #Sony PlayStation 4 (PS4) 500 GB with GTA 5 Bundle is selling cheaper at INR 29990 today https://t.co/JDmxmoGbyF #flipkart,pricetrak
29-05-2017,0,Gurgaon,1,Twitter for Android,RT @JayshreeSundar: #Flipkart how can you send tampered products. Kindly replace immediately. https://t.co/16IIw6Sodj,Silence_Speaks
29-05-2017,0,"Surat, India",1,Twitter Bot One,"RT @thestartupmojoo: #Flipkart and #Snapdeal are waiting for #RatanTata and #AzimPremji nod
#Startups #StartupIndia
https://t.co/gWPlIeq6pz…",SuratStartups
29-05-2017,0,,0,fliptrak-node,#deals HOW TO SOLVE IT is selling cheaper by 17% at INR 315 today https://t.co/yuc0QfvE1g #flipkart,pricetrak
29-05-2017,1,New Delhi,1,Twitter for iPhone,#Flipkart how can you send tampered products. Kindly replace immediately. https://t.co/16IIw6Sodj,JayshreeSundar
29-05-2017,1,,1,Buffer,"#Flipkart and #Snapdeal are waiting for #RatanTata and #AzimPremji nod
#Startups #StartupIndia… https://t.co/UjmFf9KvpN",thestartupmojoo
29-05-2017,0,,0,fliptrak-node,#deals Marketing Management 15 Edition is selling cheaper at INR 597 today https://t.co/6M5jtjy1pB #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Muscletech Nitrotech Perf Series Whey Protein is selling cheaper at INR 5200 today https://t.co/bx2Q1MjGt0 #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Crompton Marvel Personal Air Cooler is selling cheaper at INR 5324 today https://t.co/dtqDgIJpMV #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Adidas Originals KIEL Sneakers is selling cheaper at INR 2499 today https://t.co/EWno3mJXVI #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Scuderia Ferrari 0840007 Analog Watch  - For Men is selling cheaper at INR 2999 today https://t.co/x14cRe07Ar #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Scuderia Ferrari 0830325 Analog Watch  - For Men is selling cheaper at INR 2999 today https://t.co/GxpwLVMfFa #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Sony 123.2cm (49) Ultra HD (4K) Smart LED TV is selling cheaper at INR 104999 today https://t.co/9yUjRDBhJD #flipkart,pricetrak
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",M9K9J
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",Tech9Guru9
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",SoftwaresMk
29-05-2017,0,India,2,Twitter for Android,RT @Cashkarocom: Get the coolest gadgets at #Flipkart this Summer &amp; save like never before with CashKaro #Cashback!  https://t.co/pcZlDwrSQ…,happypiyush2029
29-05-2017,0,New Delhi ,1,Twitter for Android,"RT @priyankasahay: HR Head of #Snapdeal @sznigam Saurabh Nigam quits, ahead of firm's deal with #Flipkart https://t.co/woeC4jcZY2",AshishXL
29-05-2017,0,,3,Twitter Web Client,"RT @moneycontrolcom: #Snapdeal's HR head #SaurabhNigam quits, ahead of deal with #Flipkart 

https://t.co/OouXUYygVG",HarsimranJulka
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",Java9Architect
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",JhaSoftware
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",B9Data9
29-05-2017,0,New Delhi ,1,Twitter Web Client,"HR Head of #Snapdeal @sznigam Saurabh Nigam quits, ahead of firm's deal with #Flipkart https://t.co/woeC4jcZY2",priyankasahay
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",DataScientist9
29-05-2017,0,,0,fliptrak-node,#deals #Dell 18.5 inch LED - E1916HV  Monitor is selling cheaper by 4% at INR 4790 today https://t.co/HLHSszEXRL #flipkart,pricetrak
29-05-2017,0,,9,Twitter Web Client,"RT @M99Kumar: 💰#Flipkart buys #eBay, #Myntra &amp; #Jabong, &amp; it is in process to buy #Snapdeal. Flipkart is shopping more than what people sho…",ExpertInJava
29-05-2017,0,,0,Facebook,"Top Brands Men's Footwear Minimum 55% off from Rs. 134 #flipkart
Checkout now... https://t.co/7A72erbUe7",indiafreestuff
29-05-2017,0,Mumbai | Bangalore | New Delhi,3,Twitter Web Client,"RT @moneycontrolcom: #Snapdeal's HR head #SaurabhNigam quits, ahead of deal with #Flipkart 

https://t.co/OouXUYygVG",startup_18
29-05-2017,6,Mumbai,3,Twitter Web Client,"#Snapdeal's HR head #SaurabhNigam quits, ahead of deal with #Flipkart 

https://t.co/OouXUYygVG",moneycontrolcom
29-05-2017,0,,0,fliptrak-node,#deals #Intel 3.5 GHz LGA 1151 i5 6600k Processor is selling cheaper at INR 18990 today https://t.co/2sFgyHMgQk #flipkart,pricetrak
29-05-2017,0,India,0,Twitter Web Client,Flipkart Summer Shopping Days Sale on 28 May 2017 and extends to 30 May 2017. #Flipkart #Shopping Get Deal Now @… https://t.co/UGO5VR8Fnr,dealsperk
29-05-2017,0,,1,Twitter for Android,RT @OffersXpIndia: #Flipkart #Sale Min 50% OFF on Everything + 10% Cashback via Citi Cards + 25% Cashback via Phonepe https://t.co/MBGzYPqK…,anuudelhi
29-05-2017,0,,1,Twitter for Android,RT @OffersXpIndia: #Flipkart #Sale 60% OFF: #Lee Regular Men's Blue Jeansr + 25% Cashback via Phonepe https://t.co/uJvNJogfHT,anuudelhi
29-05-2017,0,,1,Twitter for Android,RT @CashmintIN: Checkout  iPhone6 @Flipkart -&gt;  https://t.co/Ktn5X4fxuI  #Flipkart #SummerShoppingDays https://t.co/KyTJVicrtT,Baashhu
29-05-2017,0,,0,fliptrak-node,#deals Kairos Mercedes Benz Tyre Rotary Wheel Key Chain is selling cheaper at INR 249 today https://t.co/vueTmlgLNl #flipkart,pricetrak
29-05-2017,1,"Chennai, India",0,Hootsuite,Checkout Deals on DSLR's https://t.co/iYwi9klCm2  #Flipkart #SummerShoppingDays https://t.co/73zIFs7D9u,CashmintIN
29-05-2017,0,"Raipur, India",1,Twitter for Android,@_sachinbansal @binnybansal @Flipkart @jagograhakjago @consaff 3) #Flipkart #owner r Happy becoz if u tag any probl… https://t.co/JUkeA7t7A0,saismriti
29-05-2017,0,Blr + Mum + NCR + Hyd + Kol,0,Twitter Web Client,"amid its sale to #Flipkart
#founders &amp; #NVP #invest
$17M in #Snapdeal #ecommerce
fr 17k Series J1 Preference #shares
https://t.co/j3UUFo8fjY",iAmAProductGuy
29-05-2017,0,"Raipur, India",0,Twitter for Android,@_sachinbansal @binnybansal @Flipkart @jagograhakjago @consaff 2) #Flipkart #support Staff r Happy becoz They r not… https://t.co/uGqrJ9VaPS,saismriti
29-05-2017,0,"Raipur, India",1,Twitter for Android,@_sachinbansal @binnybansal @Flipkart @jagograhakjago @consaff My Observations 1) #Seller r Happy with #Flipkart be… https://t.co/XkP2eLC3Wt,saismriti
29-05-2017,0,Cloud,1,RoundTeam,"RT @thestartupmojoo: #Flipkart and #Snapdeal are waiting for #RatanTata and #AzimPremji nod
#Startups #StartupIndia
https://t.co/ZgPu9FaLp7…",SethTBrand
29-05-2017,0,"Ahmadabad City, India",0,Twitter for iPhone,@flipkartsupport This is what d same i have been hearing from the last 20 days #Flipkart @flipkartsupport,sankhla_sourabh
29-05-2017,0,"Kolkata, West Bengal",0,Twitter Web Client,"Crocs Men's &amp; Women's Footwear upto 62% Off from ₹910
https://t.co/UiplznjA26
#flipkart #Crocs #Deals #SummerShoppingDays",shahidchess
29-05-2017,0,,1,Buffer,"#Flipkart and #Snapdeal are waiting for #RatanTata and #AzimPremji nod
#Startups #StartupIndia… https://t.co/O1zdxyJ2aP",thestartupmojoo
29-05-2017,2,Mumbai,0,Hootsuite,"Failure? Don’t worry because Flipkart’s got a solution for that. 
#Flipkart #Ecommerce #Success #BaysideJournal
https://t.co/aaTf60MT6q",bayside_journal
29-05-2017,0,,0,fliptrak-node,"#deals Moto G4 Plus (White, 32 GB) is selling cheaper at INR 13799 today https://t.co/8QNcJ20Yr5 #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Reebok Men's T-Shirt is selling cheaper at INR 539 today https://t.co/J3cbyOzcHn #flipkart,pricetrak
29-05-2017,0,"Kolkata, West Bengal",0,Twitter Web Client,"Philips BG1025/15 Body Groomer For Men (Black) 33% Off ₹999
https://t.co/i20sbRBmwG
#flipkart #Philips #ForMen #Deals #SummerShoppingDays",shahidchess
29-05-2017,0,,0,fliptrak-node,#deals #Philips BT64W/94 Portable Bluetooth Mobile/Tablet Speaker is selling cheaper at INR 1249 today https://t.co/Gcit7a5LYr #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #LG 255 L Frost Free Double Door Refrigerator is selling cheaper at INR 25999 today https://t.co/PGt4SJyAiA #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals BMS Lifestyle 14 in 1 Chopper is selling cheaper by 3% at INR 389 today https://t.co/m0RICVWQXS #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Apple iPad 128 GB 9.7 inch with Wi-Fi Only is selling cheaper at INR 36865 today https://t.co/gl1PYVlLUk #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals MSE A-001 Slim_A01 7000 mAh Power Bank is selling cheaper at INR 1089 today https://t.co/iQ2GJZb8hL #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Envent Beatz 302 Black With Mic Wired Headphones is selling cheaper by 2% at INR 439 today https://t.co/vXzYzuU2Eo #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Metal Gear Solid V: The Definitive Experience is selling cheaper at INR 1485 today https://t.co/5KKQQ06QsY #flipkart,pricetrak
29-05-2017,0,"Chennai, India",1,Hootsuite,Checkout  iPhone6 @Flipkart -&gt;  https://t.co/Ktn5X4fxuI  #Flipkart #SummerShoppingDays https://t.co/KyTJVicrtT,CashmintIN
29-05-2017,0,,0,fliptrak-node,"#deals Shaun Printed Women's Round Neck Dark Blue, Pink, Grey T-Shirt is selling cheaper at INR 789 today https://t.co/3hBr5ANvJx #flipkart",pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Haier 1 Ton 5 Star Split AC White is selling cheaper by 8% at INR 21999 today https://t.co/lyLCHRaUzZ #flipkart,pricetrak
29-05-2017,0,Bangalore,0,Twitter Web Client,@Flipkart #Flipkart nonsense service ever. 4th time they committed but still not delivered. It spoil my hole surprise for spacial one.,SreejibD
29-05-2017,0,,0,fliptrak-node,#deals SAMSUNG 1.5 Ton 3 Star Split AC Blue Strip is selling cheaper by 16% at INR 25299 today https://t.co/tIY8q7YGPw #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Dishonored (Definitive Edition) is selling cheaper by 2% at INR 1340 today https://t.co/d9KfKHHbQO #flipkart,pricetrak
29-05-2017,0,Mumbai,0,Twitter for Android,Received a damaged onida air conditioner from #Flipkart  please arrange replacement for the same @Flipkart… https://t.co/FJhWNxsWyM,Pratik_Ricky
29-05-2017,0,Bangalore,0,Twitter Web Client,This is absolutely ridiculous #Flipkart @Flipkart alter calling 4th time still item not delivered.It spoil my hole surprise for spacial one,SreejibD
29-05-2017,0,"Kolkata, West Bengal",0,Twitter Web Client,"#Bosch 7kg Fully Automatic Front Load #WashingMachine 47% Off ₹18599
Citi CC/DC 10% Cashback
https://t.co/2HSmUeJkjR
#flipkart #Summer",shahidchess
29-05-2017,0,"New Delhi, India",1,IFTTT,"Moneyम्जी khabar laaye!

#flipkart #sale #money💰 #discount #ecommerce #amazon #businessmind #business #news #entre…… https://t.co/6mNj1bT80h",moneymji
29-05-2017,0,,0,fliptrak-node,#deals Blue Star 1.5 Ton 2 Star Window AC White is selling cheaper at INR 17999 today https://t.co/0cUysab0cX #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals United Colors of Benetton Men Boat shoes is selling cheaper by 5% at INR 1634 today https://t.co/WLsiol5Wg5 #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals Sirius Toys FX078 4CH 2.4G Single Blade RC Helicopter (Green) is selling cheaper at INR 2449 today https://t.co/SpIUISj1A2 #flipkart,pricetrak
29-05-2017,1,"Chennai, India",0,Hootsuite,Fashion Accessories  https://t.co/iMwks3OfgF  #Flipkart #SummerShoppingDays https://t.co/Rz1B1sQ43g,CashmintIN
29-05-2017,0,,0,fliptrak-node,#deals Last Exit to Brooklyn (Original Edition) is selling cheaper at INR 686 today https://t.co/KoZNJTAbTV #flipkart,pricetrak
29-05-2017,1,"Bangalore, India",0,Twitter Web Client,"Seems like @Flipkart is down??

#flipkart #down",amitsomani
29-05-2017,1,"Los Angeles, CA",1,dlvr.it,The Startup Mojo (@thestartupmojoo) | The Ecommerce war #Flipkart vs #Amazon vs @AlibabaGroup begins #Startups… https://t.co/MT5eWrAOPv,_startupWomen
29-05-2017,0,,0,fliptrak-node,#deals Mass Effect 3 is selling cheaper at INR 699 today https://t.co/afcYRo2sPB #flipkart,pricetrak
29-05-2017,0,,0,fliptrak-node,#deals #Kajal Sarees Applique Fashion Net Sari is selling cheaper at INR 840 today https://t.co/Nat5tzvy7L #flipkart,pricetrak
